service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS322-1-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-2-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-5-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-6-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-9-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-A-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-B-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-E-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-F-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-I-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-J-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-M-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-N-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-Q-Su-02,0,0,0,0,0,0,0,20220704,20220704
BUS322-R-Wdy-02,1,1,1,1,1,0,0,20220701,20220826
BUS322-U-Su-02,0,0,0,0,0,0,0,20220704,20220704
Boat-F1-SaFull-Smr-22,0,0,0,0,0,1,0,20220702,20220827
Boat-F1-SuFull-Smr-22,0,0,0,0,0,0,1,20220703,20220821
Boat-F1-WdyFull-Smr-22,1,1,1,1,1,0,0,20220701,20220826
Boat-F4-Sa-Smr-22,0,0,0,0,0,1,0,20220702,20220827
Boat-F4-Su-Smr-22,0,0,0,0,0,0,1,20220703,20220821
Boat-F4-Wdy-Smr-22,1,1,1,1,1,0,0,20220701,20220826
CR-1-AndersonJulyShuttle-Snd,0,0,0,0,0,0,1,20220710,20220807
CR-1-AndersonJulyShuttle-Std,0,0,0,0,0,1,0,20220709,20220806
CR-2-WellingtonJulyShuttle-Snd,0,0,0,0,0,0,1,20220710,20220724
CR-2-WellingtonJulyShuttle-Std,0,0,0,0,0,1,0,20220709,20220723
Green-B-JuneShuttle-Wkd,0,0,0,0,1,0,0,20220701,20220701
IndependenceDay,0,0,0,0,0,0,0,20220704,20220704
LRV322-1-Wdy-01,1,1,1,1,1,0,0,20220725,20220826
LRV322-1-Wdy-01-BCGvt,0,0,0,0,1,0,0,20220701,20220701
LRV322-1-Wdy-01-CldCrlKnr,1,1,1,1,1,0,0,20220711,20220722
LRV322-2-Sa-01,0,0,0,0,0,1,0,20220702,20220827
LRV322-2-Sa-01-CldCrlKnr,0,0,0,0,0,1,0,20220716,20220716
LRV322-3-Su-01,0,0,0,0,0,0,1,20220703,20220821
LRV322-3-Su-01-CldCrlKnr,0,0,0,0,0,0,1,20220717,20220717
LRV322-4-Wdy-01,0,0,0,0,0,0,0,20220704,20220704
LRV322-5-Wdy-01,1,1,1,1,1,0,0,20220701,20220826
LRV322-8-Wdy-01,0,0,0,0,0,0,0,20220704,20220704
PRIV322-1-Wdy-01,1,1,1,1,1,0,0,20220701,20220826
PRIV322-3-Wdy-01,1,1,1,1,1,0,0,20220701,20220826
PRIV322-5-Su-01,0,0,0,0,0,0,1,20220703,20220821
PRIV322-6-Wdy-01,1,1,1,1,1,0,0,20220701,20220826
PRIV322-9-Su-01,0,0,0,0,0,0,0,20220704,20220704
RTL322-3-Wdy-01,0,0,0,0,0,0,0,20220704,20220704
RTL322-4-Sa-01,1,1,1,1,1,0,0,20220701,20220826
RTL322-5-Sa-01,0,0,0,0,0,1,0,20220702,20220723
RTL322-5-Sa-01-OkGrvWln,0,0,0,0,0,1,0,20220730,20220827
RTL322-6-Su-01,0,0,0,0,0,0,1,20220703,20220724
RTL322-6-Su-01-NrhStnRgsSsd,0,0,0,0,0,0,1,20220710,20220710
RTL322-6-Su-01-OkGrvWln,0,0,0,0,0,0,1,20220731,20220821
RTL322-7-Wdy-01,0,0,0,0,0,0,0,20220704,20220704
RTL322-8-Sa-01,1,1,1,1,1,0,0,20220701,20220728
RTL322-8-Sa-01-OkGrvWln,1,1,1,1,1,0,0,20220729,20220826
RTL322-9-Sa-01,0,0,0,0,0,1,0,20220702,20220827
RTL322-9-Sa-01-AlfHrd,0,0,0,0,0,1,0,20220709,20220709
RTL322-9-Sa-01-AlfKnl,0,0,0,0,0,1,0,20220723,20220723
RTL322-A-Su-01,0,0,0,0,0,0,1,20220703,20220821
RTL322-A-Su-01-AlfHrd,0,0,0,0,0,0,1,20220710,20220710
RTL322-A-Su-01-AlfKnl,0,0,0,0,0,0,1,20220724,20220724
RTL322-B-Wdy-01,0,0,0,0,0,0,0,20220704,20220704
RTL322-C-Sa-01,1,1,1,1,1,0,0,20220701,20220826
SPR22-N-Sa-1,0,0,0,0,0,1,0,20220813,20220827
SPR22-N-Sa-1-S6d,0,0,0,0,0,1,0,20220813,20220827
SPR22-N-Sa-1-S72,0,0,0,0,0,1,0,20220813,20220827
SPR22-N-Sa-1-S9f,0,0,0,0,0,1,0,20220730,20220827
SPR22-N-Sa-11,0,0,0,0,0,1,0,20220709,20220806
SPR22-N-Sa-11-S6d,0,0,0,0,0,1,0,20220709,20220806
SPR22-N-Sa-11-S72,0,0,0,0,0,1,0,20220709,20220806
SPR22-N-Sa-11-S9f,0,0,0,0,0,1,0,20220709,20220723
SPR22-N-Su-1,0,0,0,0,0,0,1,20220814,20220821
SPR22-N-Su-1-S6d,0,0,0,0,0,0,1,20220814,20220821
SPR22-N-Su-1-S72,0,0,0,0,0,0,1,20220814,20220821
SPR22-N-Su-1-S9f,0,0,0,0,0,0,1,20220731,20220821
SPR22-N-Su-11,0,0,0,0,0,0,1,20220710,20220807
SPR22-N-Su-11-S6d,0,0,0,0,0,0,1,20220710,20220807
SPR22-N-Su-11-S72,0,0,0,0,0,0,1,20220710,20220807
SPR22-N-Su-11-S9f,0,0,0,0,0,0,1,20220710,20220724
SPR22-N-Wdy-1,1,1,1,1,1,0,0,20220701,20220826
SPR22-N-Wdy-1-S6d,1,1,1,1,1,0,0,20220701,20220826
SPR22-N-Wdy-1-S72,1,1,1,1,1,0,0,20220701,20220826
SPR22-N-Wdy-1-S9f,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Sa-1,0,0,0,0,0,1,0,20220702,20220827
SPR22-S-Sa-1-RdlSthStnFMT,0,0,0,0,0,1,0,20220709,20220709
SPR22-S-Su-1,0,0,0,0,0,0,1,20220703,20220821
SPR22-S-Su-1-RdlSthStnFMT,0,0,0,0,0,0,1,20220710,20220710
SPR22-S-Su-C1-S49,0,0,0,0,0,0,1,20220703,20220821
SPR22-S-Wdy-1,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-1-S86,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-1-S8f,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-1-Sb6,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-1-Sc0,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-1-Sc5,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-6,1,1,1,1,1,0,0,20220701,20220826
SPR22-S-Wdy-C1-S49,0,0,0,0,1,0,0,20220701,20220826
Spring/SummerSaturday,0,0,0,0,0,1,0,20220702,20220827
Spring/SummerSunday,0,0,0,0,0,0,1,20220703,20220821
SummerSaturday,0,0,0,0,0,1,0,20220702,20220827
SummerSunday,0,0,0,0,0,0,1,20220703,20220821
